               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.020203,             0.00825,                   0,             0.99588,             0.98907,             0.99473,             0.78953,            0.021124,           0.0034344,                   0,            0.007795,            0.007795,            0.007795
                 149,            0.020164,           0.0082741,                   0,             0.99588,             0.98907,             0.99472,             0.79008,             0.02113,           0.0034342,                   0,             0.00778,             0.00778,             0.00778
                 150,            0.020174,           0.0082328,                   0,             0.99586,              0.9891,             0.99471,             0.79046,            0.021138,           0.0034347,                   0,            0.007765,            0.007765,            0.007765
                 151,            0.020218,           0.0083193,                   0,             0.99586,              0.9891,             0.99471,             0.78988,             0.02114,           0.0034352,                   0,             0.00775,             0.00775,             0.00775
                 152,             0.02022,           0.0083123,                   0,             0.99385,             0.99046,             0.99471,             0.78986,            0.021138,           0.0034347,                   0,            0.007735,            0.007735,            0.007735
                 153,            0.020089,           0.0083542,                   0,             0.99588,              0.9891,             0.99471,              0.7896,            0.021142,           0.0034347,                   0,             0.00772,             0.00772,             0.00772
                 154,            0.020053,           0.0083194,                   0,             0.99588,             0.98909,              0.9947,             0.78993,            0.021147,           0.0034348,                   0,            0.007705,            0.007705,            0.007705
                 155,            0.019856,            0.008206,                   0,             0.99587,              0.9891,              0.9947,             0.78999,            0.021157,           0.0034346,                   0,             0.00769,             0.00769,             0.00769
                 156,             0.02006,            0.008268,                   0,             0.99586,              0.9891,              0.9947,                0.79,            0.021161,           0.0034348,                   0,            0.007675,            0.007675,            0.007675
                 157,            0.019955,           0.0083098,                   0,             0.99588,             0.98905,              0.9947,             0.78982,            0.021169,           0.0034356,                   0,             0.00766,             0.00766,             0.00766
                 158,            0.019805,           0.0082322,                   0,              0.9952,             0.98962,             0.99469,             0.79014,             0.02117,           0.0034353,                   0,            0.007645,            0.007645,            0.007645
                 159,            0.019919,           0.0082925,                   0,              0.9952,             0.99046,             0.99471,             0.78964,            0.021168,           0.0034352,                   0,             0.00763,             0.00763,             0.00763
